frame,person_id,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf
23,0,439,282,0.9922617673873901,411,281,0.9944193959236145,434,327,0.9948380589485168,417,327,0.9959864020347595
24,0,439,282,0.9942264556884766,411,281,0.995000422000885,434,328,0.9962010979652405,418,328,0.996699869632721
25,0,438,282,0.9942449927330017,411,282,0.995164155960083,435,328,0.9965412020683289,418,328,0.9970773458480835
26,0,438,282,0.9946689009666443,411,282,0.9951589703559875,434,328,0.9966313242912292,417,328,0.9970309734344482
27,0,438,282,0.9927064776420593,411,281,0.995136559009552,434,328,0.9947198629379272,417,328,0.9960756897926331
28,0,438,282,0.9928841590881348,411,281,0.9949370622634888,433,328,0.9947521686553955,416,328,0.9959696531295776
29,0,438,282,0.9927281141281128,411,281,0.9954860806465149,433,328,0.9942411184310913,417,328,0.9958950281143188
30,0,438,281,0.9933304190635681,411,280,0.9956833124160767,434,327,0.994750440120697,417,327,0.9961647987365723
31,0,438,281,0.9935956597328186,411,280,0.9950376152992249,434,327,0.9948278069496155,417,327,0.9958239793777466
32,0,438,281,0.993436872959137,411,281,0.9953197836875916,434,328,0.9947256445884705,417,328,0.9959445595741272
33,0,438,281,0.9937071204185486,411,281,0.9951862692832947,435,328,0.9948339462280273,417,328,0.9958711266517639
34,0,438,281,0.9937835931777954,411,282,0.9955127835273743,435,328,0.9948174357414246,417,329,0.9960122108459473
35,0,438,281,0.9939875602722168,411,282,0.9955077171325684,435,328,0.9947646856307983,418,329,0.9958909749984741
36,0,438,281,0.9945092797279358,410,282,0.9960350394248962,436,328,0.9957563281059265,419,329,0.9965687990188599
37,0,438,281,0.9943031072616577,411,282,0.995083212852478,435,329,0.994845986366272,418,329,0.995591938495636
38,0,438,281,0.993757963180542,411,282,0.9947794675827026,435,328,0.994481086730957,418,329,0.9953635931015015
39,0,438,282,0.9936779141426086,411,282,0.9951931238174438,435,328,0.9942862391471863,418,329,0.9954761862754822
40,0,438,282,0.9935896396636963,411,282,0.995028555393219,436,328,0.9941031336784363,418,329,0.9952760934829712
41,0,438,282,0.9937573671340942,411,282,0.9949873685836792,435,328,0.9942500591278076,418,329,0.9953175783157349
42,0,439,282,0.9937642812728882,411,282,0.9950824975967407,435,328,0.9941603541374207,418,329,0.9952958226203918
43,0,439,282,0.9937679767608643,411,282,0.9952249526977539,435,328,0.9941931366920471,418,329,0.9953969120979309
44,0,439,282,0.9936339855194092,411,282,0.9952155351638794,435,328,0.9942561984062195,418,328,0.995495080947876
45,0,439,282,0.9934802055358887,411,282,0.9950457811355591,436,328,0.9940207600593567,418,329,0.9952588677406311
46,0,439,281,0.9935111403465271,411,282,0.9953072667121887,436,329,0.9940797090530396,418,329,0.9954462051391602
47,0,439,281,0.993753969669342,411,282,0.9949910044670105,436,329,0.9940544962882996,418,329,0.9951342940330505
48,0,439,281,0.993614912033081,411,282,0.9946160912513733,436,329,0.9939172863960266,418,329,0.9948531985282898
49,0,439,281,0.9931487441062927,411,282,0.9950026869773865,436,329,0.9936113953590393,418,329,0.9950577020645142
