frame_id,tiempo_ms,persona_id,lado,x_hombro,y_hombro,conf_hombro,x_cadera,y_cadera,conf_cadera
19,375.19,1,Der,219.45,203.72,0.99,225.36,253.84,0.99
19,375.19,2,Der,301.19,226.70,0.99,305.94,268.58,0.99
19,375.19,3,Izq,354.05,226.36,0.99,351.50,265.22,0.99
20,363.51,0,Der,263.69,215.20,0.99,270.87,260.01,0.99
20,363.51,1,Der,219.43,203.36,0.99,225.33,253.34,0.99
20,363.51,2,Izq,354.42,227.14,0.98,352.09,265.70,0.99
20,363.51,3,Der,301.05,225.81,0.99,306.18,267.73,0.99
21,359.89,0,Der,264.60,215.12,0.99,270.40,262.05,0.99
21,359.89,1,Der,219.63,202.85,0.99,225.48,253.29,0.99
21,359.89,2,Der,300.88,225.69,0.99,306.15,267.62,0.99
21,359.89,3,Izq,354.27,227.21,0.98,352.09,265.42,0.98
22,364.86,0,Der,264.89,215.40,0.99,270.44,262.11,0.99
22,364.86,1,Izq,354.42,227.39,0.98,352.09,265.43,0.98
22,364.86,2,Der,300.90,225.21,0.99,306.15,267.09,0.99
22,364.86,3,Der,220.42,203.32,0.99,225.93,252.82,0.99
23,363.51,0,Der,265.02,215.47,0.99,270.53,262.31,0.99
23,363.51,1,Der,220.82,203.59,0.99,226.28,253.28,0.99
23,363.51,2,Izq,354.52,227.05,0.98,352.20,265.00,0.98
23,363.51,3,Der,300.57,225.75,0.99,306.02,267.34,0.99
24,358.80,0,Der,266.07,215.27,0.98,270.96,261.32,0.99
24,358.80,1,Der,221.92,203.70,0.99,226.20,252.09,0.99
24,358.80,2,Der,300.93,226.07,0.99,306.14,267.69,0.99
24,358.80,3,Izq,354.87,226.38,0.98,352.62,264.64,0.98
25,361.05,0,Der,266.18,215.54,0.99,271.26,261.89,0.99
25,361.05,1,Der,221.17,203.29,0.99,226.46,253.00,0.99
25,361.05,2,Izq,355.05,226.02,0.98,353.06,264.12,0.98
25,361.05,3,Der,300.37,225.45,0.99,306.60,266.79,0.99
26,355.47,0,Der,266.27,215.10,0.99,271.43,261.60,0.99
26,355.47,1,Izq,355.65,226.76,0.98,353.65,264.34,0.98
26,355.47,2,Der,222.23,203.55,0.99,227.46,253.96,0.99
26,355.47,3,Der,300.70,225.26,0.99,306.79,266.64,0.99
27,366.68,0,Der,266.88,215.09,0.99,272.29,260.93,0.99
27,366.68,1,Izq,356.31,226.18,0.98,354.03,263.96,0.99
27,366.68,2,Der,223.91,203.11,0.99,228.13,251.32,0.99
27,366.68,3,Der,302.90,226.21,0.99,308.94,267.04,0.98
28,361.06,0,Der,266.86,215.18,0.99,272.72,261.30,0.99
28,361.06,1,Izq,356.57,226.17,0.98,354.41,263.86,0.98
28,361.06,2,Der,224.82,203.58,0.99,229.01,251.51,0.99
28,361.06,3,Der,303.51,228.12,0.98,309.92,269.04,0.98
29,362.83,0,Der,268.44,214.44,0.99,273.70,259.78,0.99
29,362.83,1,Der,225.37,202.26,0.99,229.55,250.50,0.99
29,362.83,2,Izq,357.41,225.09,0.98,355.58,264.02,0.99
29,362.83,3,Der,304.80,227.33,0.98,310.78,268.02,0.97
30,360.49,0,Der,268.70,214.50,0.99,274.22,260.07,0.99
30,360.49,1,Der,225.89,201.93,0.99,230.30,249.94,0.99
30,360.49,2,Izq,357.99,225.68,0.98,355.53,263.53,0.98
30,360.49,3,Der,305.90,227.54,0.98,311.94,267.50,0.98
31,363.59,0,Der,268.85,214.21,0.99,274.32,260.14,0.99
31,363.59,1,Der,226.56,201.19,0.99,231.05,249.24,0.99
31,363.59,2,Izq,358.25,225.60,0.98,355.81,263.39,0.98
31,363.59,3,Der,305.70,227.15,0.97,311.11,266.85,0.97
32,391.75,0,Der,268.57,213.66,0.99,274.08,260.05,0.99
32,391.75,1,Der,226.72,201.70,0.99,231.08,249.07,0.98
32,391.75,2,Izq,358.08,225.10,0.98,355.94,262.76,0.98
32,391.75,3,Der,305.92,226.65,0.98,311.38,266.76,0.98
33,364.82,0,Der,268.90,213.49,0.99,274.69,259.59,0.99
33,364.82,1,Der,226.79,200.77,0.98,231.06,249.15,0.98
33,364.82,2,Der,306.01,225.68,0.97,311.57,265.71,0.97
33,364.82,3,Izq,358.31,225.33,0.97,355.94,262.62,0.98
34,359.15,0,Der,269.37,213.18,0.99,275.20,258.96,0.99
34,359.15,1,Der,227.02,199.90,0.99,231.73,248.64,0.98
34,359.15,2,Der,306.44,225.18,0.97,311.91,265.27,0.97
34,359.15,3,Izq,358.23,224.52,0.97,356.37,263.10,0.98
35,359.25,0,Der,269.77,212.80,0.99,275.94,258.65,0.99
35,359.25,1,Der,226.94,198.95,0.98,231.81,248.02,0.98
35,359.25,2,Izq,358.39,224.86,0.98,356.84,263.31,0.99
35,359.25,3,Der,305.51,223.04,0.99,310.97,263.31,0.99
36,358.13,0,Der,269.98,213.17,0.99,276.46,259.20,0.99
36,358.13,1,Der,227.09,198.90,0.98,231.95,248.63,0.98
36,358.13,2,Izq,358.88,224.47,0.98,356.13,262.30,0.98
36,358.13,3,Der,306.19,223.57,0.97,311.68,263.79,0.97
37,378.08,0,Der,269.63,212.83,0.99,275.96,258.83,0.99
37,378.08,1,Der,226.93,199.19,0.98,231.90,248.65,0.98
37,378.08,2,Der,306.98,224.63,0.97,312.34,264.55,0.98
37,378.08,3,Izq,359.02,223.73,0.98,356.57,261.62,0.98
38,413.54,0,Der,269.72,212.42,0.99,275.94,258.66,0.99
38,413.54,1,Der,227.30,199.20,0.98,231.91,248.36,0.98
38,413.54,2,Der,337.44,224.54,0.98,343.02,262.52,0.98
38,413.54,3,Der,306.83,224.14,0.97,312.38,264.23,0.98
39,364.09,0,Der,269.65,212.49,0.99,275.99,258.83,0.99
39,364.09,1,Der,227.92,199.29,0.98,232.74,248.57,0.98
39,364.09,2,Der,306.87,223.73,0.97,312.22,263.67,0.98
39,364.09,3,Izq,358.73,223.58,0.98,357.09,262.48,0.98
40,363.58,0,Der,269.60,212.16,0.99,275.91,258.11,0.99
40,363.58,1,Der,228.49,198.70,0.98,232.68,247.53,0.99
40,363.58,2,Der,306.62,224.10,0.97,312.07,263.93,0.98
40,363.58,3,Izq,359.21,223.63,0.98,357.40,262.79,0.98
41,358.53,0,Der,269.65,212.48,0.99,276.14,257.94,0.99
41,358.53,1,Der,228.96,198.55,0.99,233.02,247.01,0.99
41,358.53,2,Der,306.44,224.20,0.97,311.92,264.74,0.97
41,358.53,3,Izq,359.40,223.30,0.98,357.35,262.44,0.98
42,379.59,0,Der,269.53,212.80,0.99,275.55,258.32,0.99
42,379.59,1,Der,229.34,198.26,0.98,233.06,246.83,0.99
42,379.59,2,Der,305.94,224.45,0.98,311.63,264.91,0.98
42,379.59,3,Der,338.20,224.52,0.98,344.04,263.18,0.98
43,363.90,0,Der,269.77,212.28,0.99,275.36,257.75,0.99
43,363.90,1,Der,229.95,198.94,0.98,233.34,246.99,0.99
43,363.90,2,Der,305.40,225.11,0.98,310.68,265.65,0.98
43,363.90,3,Der,338.97,224.30,0.98,343.51,261.79,0.98
44,360.07,0,Der,269.66,212.33,0.99,275.29,257.60,0.99
44,360.07,1,Der,231.02,198.83,0.99,234.14,247.22,0.99
44,360.07,2,Der,305.47,224.95,0.98,310.98,264.96,0.98
44,360.07,3,Der,338.93,223.81,0.98,343.54,261.32,0.98
45,356.99,0,Der,269.42,212.72,0.99,275.41,258.59,0.99
45,356.99,1,Der,231.38,198.81,0.99,234.46,247.16,0.99
45,356.99,2,Der,338.99,223.17,0.98,343.54,261.36,0.98
45,356.99,3,Der,303.03,223.98,0.98,309.41,264.44,0.98
46,357.37,0,Der,269.39,212.32,0.99,274.89,257.76,0.99
46,357.37,1,Der,231.12,199.12,0.99,233.78,248.00,0.99
46,357.37,2,Der,302.36,224.03,0.99,308.81,264.91,0.98
46,357.37,3,Der,338.80,223.09,0.98,343.05,261.15,0.98
47,361.50,0,Der,269.10,212.34,0.99,274.66,257.89,0.99
47,361.50,1,Der,231.45,199.08,0.99,234.37,247.55,0.99
47,361.50,2,Der,338.83,222.54,0.98,343.43,261.56,0.99
47,361.50,3,Der,302.14,223.33,0.99,308.94,264.86,0.99
48,358.65,0,Der,269.21,212.41,0.99,274.25,258.08,0.99
48,358.65,1,Der,338.81,222.17,0.99,343.28,260.65,0.99
48,358.65,2,Der,231.95,198.93,0.99,234.97,247.72,0.99
48,358.65,3,Der,302.05,223.51,0.99,307.81,264.92,0.98
49,362.14,0,Der,269.02,211.90,0.99,274.43,257.69,0.99
49,362.14,1,Der,339.18,221.98,0.98,343.32,260.22,0.99
49,362.14,2,Der,232.33,198.87,0.99,235.32,247.19,0.99
49,362.14,3,Der,301.26,223.04,0.99,307.48,263.90,0.99
50,371.16,0,Der,268.74,211.74,0.99,274.28,257.49,0.99
50,371.16,1,Der,301.27,222.75,0.99,307.71,264.74,0.99
50,371.16,2,Der,232.78,198.63,0.99,235.32,247.19,0.99
50,371.16,3,Der,339.40,221.96,0.98,343.73,260.43,0.98
51,360.22,0,Der,268.55,211.43,0.99,274.11,257.38,0.99
51,360.22,1,Der,301.30,222.98,0.99,307.36,264.80,0.99
51,360.22,2,Der,232.48,198.01,0.99,234.97,246.85,0.99
51,360.22,3,Der,340.08,221.48,0.98,344.01,259.58,0.98
52,360.43,0,Der,268.47,210.85,0.99,273.98,257.05,0.99
52,360.43,1,Der,340.56,220.41,0.99,344.11,259.49,0.99
52,360.43,2,Der,232.12,197.98,0.98,234.60,247.27,0.98
52,360.43,3,Der,300.97,222.15,0.99,307.06,263.05,0.99
53,368.76,0,Der,268.33,210.47,0.99,274.04,256.39,0.99
53,368.76,1,Der,340.58,220.23,0.99,344.08,259.51,0.99
53,368.76,2,Der,300.85,222.52,0.99,307.00,263.21,0.98
53,368.76,3,Der,232.25,197.46,0.98,234.80,246.97,0.99
54,378.72,0,Der,268.45,210.07,0.99,274.06,255.76,0.99
54,378.72,1,Der,232.44,197.53,0.99,235.41,246.73,0.99
54,378.72,2,Der,340.84,219.59,0.99,344.03,258.83,0.99
54,378.72,3,Der,301.07,221.87,0.98,307.37,263.13,0.98
55,401.71,0,Der,268.43,209.88,0.99,273.83,255.93,0.99
55,401.71,1,Der,300.80,222.14,0.98,306.94,263.71,0.98
55,401.71,2,Der,340.94,219.24,0.98,343.96,258.53,0.99
55,401.71,3,Der,232.16,196.72,0.98,235.20,246.05,0.98
56,378.14,0,Der,268.44,209.72,0.99,274.16,255.43,0.99
56,378.14,1,Der,300.50,222.16,0.99,306.78,264.07,0.98
56,378.14,2,Der,341.32,218.50,0.99,344.10,257.83,0.99
56,378.14,3,Der,231.15,194.98,0.99,234.55,244.16,0.99
57,363.57,0,Der,268.43,208.75,0.99,273.87,254.68,0.99
57,363.57,1,Der,230.06,195.69,0.98,233.34,244.55,0.98
57,363.57,2,Der,300.45,220.40,0.98,306.50,263.33,0.98
57,363.57,3,Der,341.24,218.67,0.99,343.63,257.94,0.99
58,460.08,0,Der,269.05,208.04,0.99,274.04,254.27,0.99
58,460.08,1,Der,228.80,196.03,0.98,232.33,245.30,0.98
58,460.08,2,Der,341.34,217.89,0.98,343.74,257.15,0.99
58,460.08,3,Der,300.29,219.47,0.98,306.55,262.11,0.98
59,377.37,0,Der,269.51,207.95,0.99,274.12,254.55,0.99
59,377.37,1,Der,227.72,196.25,0.99,231.16,245.17,0.99
59,377.37,2,Der,300.31,219.31,0.98,306.30,262.27,0.98
59,377.37,3,Der,341.48,218.16,0.99,345.00,258.88,0.99
60,369.74,0,Der,226.63,195.60,0.99,230.93,244.87,0.99
60,369.74,1,Der,269.64,207.14,0.99,274.29,253.13,0.99
60,369.74,2,Der,299.58,219.16,0.99,305.82,262.20,0.99
60,369.74,3,Der,341.66,218.48,0.99,344.87,258.48,0.99
61,367.87,0,Der,225.41,195.16,0.99,230.32,245.62,0.99
61,367.87,1,Der,269.96,207.26,0.99,274.77,253.27,0.99
61,367.87,2,Der,299.42,219.02,0.99,305.91,261.57,0.99
61,367.87,3,Der,341.90,217.60,0.99,345.04,257.82,0.99
62,369.97,0,Der,270.28,207.00,0.99,275.10,253.11,0.99
62,369.97,1,Der,223.85,195.18,0.99,228.75,245.00,0.99
62,369.97,2,Der,299.55,218.96,0.99,306.08,261.98,0.99
62,369.97,3,Der,341.49,218.08,0.99,344.95,258.07,0.99
63,394.91,0,Der,270.18,206.60,0.99,274.98,253.22,0.99
63,394.91,1,Der,223.02,194.77,0.99,228.58,244.81,0.99
63,394.91,2,Der,300.39,220.53,0.98,306.66,263.74,0.98
63,394.91,3,Der,341.19,217.36,0.99,344.60,257.69,0.99
64,361.23,0,Der,270.35,206.88,0.99,275.10,252.96,0.99
64,361.23,1,Der,221.30,194.04,0.99,227.24,244.75,0.99
64,361.23,2,Der,300.52,220.08,0.98,306.50,262.99,0.98
64,361.23,3,Der,340.55,218.17,0.99,344.87,257.23,0.99
