frame,dist_euclid_shlders,dist_manh_shlders,dist_euclid_left_shoulder_hip,dist_manh_left_shoulder_hip,dist_euclid_right_shoulder_hip,dist_manh_right_shoulder_hip,dist_euclid_hips,dist_manh_hips,time_frame_sec,cpu_percent,memory_percent
0,20.80302222005024,21.2901611328125,49.01390629708702,53.15545654296875,48.319513706660565,51.3543701171875,13.327369796140035,13.43829345703125,0.06995081901550293,23.427777777777777,3.1580191710721928
1,20.182786279495968,20.768096923828125,50.37220557881104,54.283294677734375,49.783302610169244,52.95890808105469,12.813855053072976,12.875625610351562,0.06891179084777832,8.616666666666667,3.1622217367016447
2,20.290817298350454,20.873626708984375,52.78952856100556,57.19459533691406,52.15465049466093,54.948272705078125,12.80320535692046,12.881698608398438,0.069091796875,19.644444444444446,3.162934452510148
3,20.957781605494933,21.545135498046875,55.47285681045086,59.99647521972656,54.850596996611344,57.584747314453125,13.418504188897613,13.521469116210938,0.06947803497314453,21.97222222222222,3.1629590289173377
4,21.5133676311802,21.975875854492188,56.773222760348126,60.794464111328125,56.444087206599164,59.8541259765625,13.814633826232916,13.995742797851562,0.06808114051818848,12.455555555555556,3.1629590289173377
5,21.339866893353772,21.460617065429688,55.718274511703925,60.443023681640625,55.445504946628,58.1771240234375,13.592453274293732,13.595169067382812,0.0680704116821289,12.45,3.1629590289173377
6,21.825263774678593,21.84326171875,56.38952100337488,60.50860595703125,56.32730682040235,59.806182861328125,13.949774632671835,13.981903076171875,0.07006502151489258,13.294444444444444,3.1629590289173377
7,21.316856522656973,22.134872436523438,58.40686855887668,63.27650451660156,58.63933236019809,61.050537109375,13.75230755452172,14.176788330078125,0.0782160758972168,9.738888888888889,3.1629590289173377
8,21.3374896706734,21.556930541992188,59.80151960459196,64.565673828125,59.84281292115062,62.57208251953125,13.57071553438627,13.608261108398438,0.07435822486877441,12.56111111111111,3.1629590289173377
9,19.287114694842074,21.977981567382812,58.25712190580765,62.59062194824219,59.92939740695725,61.461151123046875,13.051166939766592,14.091064453125,0.0765848159790039,17.733333333333334,3.163376827839564
10,19.15708746706827,19.748611450195312,53.925708293340854,58.94493103027344,53.806407385240746,55.44660949707031,12.213224700804398,12.690628051757812,0.07377314567565918,11.494444444444445,3.163376827839564
11,18.999816268314934,20.233291625976562,54.138875528485414,59.21208190917969,54.58109057003465,56.05577087402344,12.139225828494427,12.715805053710938,0.07384276390075684,14.950000000000001,3.163376827839564
12,19.39172449311668,19.72418212890625,51.84748369246771,57.20765686035156,51.407451359565826,52.57200622558594,12.548588760557049,13.01727294921875,0.07315707206726074,15.083333333333334,3.163376827839564
13,18.579245408393582,19.136276245117188,45.92551614560254,50.55604553222656,45.91262053549502,47.73252868652344,11.82665979283909,12.176193237304688,0.07399511337280273,12.627777777777778,3.163376827839564
14,18.760464665700038,19.725616455078125,50.803375673767114,55.939788818359375,50.92493091537579,52.023773193359375,12.210488396903342,12.787384033203125,0.07351040840148926,23.1,3.163376827839564
15,19.267803451867106,19.480453491210938,49.911577378179146,54.68830871582031,49.63612299446112,51.62864685058594,12.204600977496712,12.478256225585938,0.07071781158447266,15.605555555555554,3.163376827839564
16,19.371673538606153,19.425949096679688,53.48611175999567,58.29759216308594,53.00264811722596,55.161895751953125,12.12090043382621,12.460723876953125,0.07084536552429199,5.988888888888889,3.163376827839564
17,19.55645304335442,19.596603393554688,48.0689368519737,52.76606750488281,47.660163070449435,50.157623291015625,12.038178325573043,12.21868896484375,0.07162857055664062,17.783333333333335,3.163376827839564
18,19.563921300276355,19.624404907226562,47.77272274291134,52.29899597167969,47.41746727348245,49.865447998046875,12.287098559713023,12.529052734375,0.07393550872802734,14.944444444444445,3.163376827839564
19,19.02502372623086,19.3961181640625,47.166558863387465,51.521148681640625,47.063916107887124,49.422393798828125,12.027526983929418,12.3404541015625,0.07301831245422363,18.605555555555554,3.163376827839564
20,19.034629640296487,19.502517700195312,47.21557584926684,51.81129455566406,46.52101010929198,48.57135009765625,12.086135320456217,12.10498046875,0.07211017608642578,16.483333333333334,3.163303098617995
21,18.593316008132092,18.801910400390625,46.81609805910662,51.37876892089844,46.5727813805755,48.44572448730469,11.871965172676973,12.114013671875,0.07361721992492676,16.16111111111111,3.163303098617995
22,18.07104827980191,18.1529541015625,51.7086196315336,56.030120849609375,51.42770116734268,53.06163024902344,11.892281108057015,12.082687377929688,0.07236647605895996,16.433333333333334,3.163327675025185
23,18.1899192547742,18.959640502929688,51.56147329827286,56.1240234375,51.78939490287871,53.33843994140625,11.820385021069898,12.175094604492188,0.0727381706237793,18.683333333333334,3.163327675025185
24,19.11548101708174,19.504714965820312,53.787445270053794,58.32945251464844,53.70035975741897,55.794464111328125,12.226437710698013,12.53497314453125,0.0694267749786377,6.116666666666666,3.163327675025185
25,19.84774979249495,20.18243408203125,52.6944215388975,57.88954162597656,52.35827977777945,53.82525634765625,12.882303879920283,13.284835815429688,0.07175874710083008,24.86111111111111,3.163327675025185
26,19.52969110767606,20.340133666992188,52.88614071797194,57.544586181640625,51.79934363305575,53.93070983886719,12.450748092807144,12.529022216796875,0.07288575172424316,17.48888888888889,3.163327675025185
27,19.512409116233762,19.710006713867188,53.016657032391976,57.91847229003906,52.318641140038494,54.30641174316406,12.334883085886972,12.619216918945312,0.0726931095123291,23.37777777777778,3.163327675025185
28,18.074963938270017,18.802902221679688,55.82909207944598,60.320465087890625,55.74104718360679,57.300445556640625,11.807494938544256,12.445724487304688,0.07192158699035645,21.255555555555556,3.1633522514323746
29,18.149871865400588,18.2437744140625,56.067939550568,60.425994873046875,55.71519990788929,57.40911865234375,11.890296200137824,12.175933837890625,0.07122635841369629,16.688888888888886,3.1633522514323746
