frame,dist_euclid_shlders,dist_manh_shlders,dist_euclid_left_shoulder_hip,dist_manh_left_shoulder_hip,dist_euclid_right_shoulder_hip,dist_manh_right_shoulder_hip,dist_euclid_hips,dist_manh_hips,time_frame_sec,cpu_percent,memory_percent
0,9.60904526440384,9.894439697265625,42.50435004297829,43.37812805175781,42.586584679373956,44.525604248046875,6.740845846720858,6.9810638427734375,0.07708334922790527,16.12777777777778,3.0500304378803045
1,16.999068351798748,17.337966918945312,42.7816547147802,47.16273498535156,42.332076719472624,44.07856750488281,10.579410964030432,10.685592651367188,0.07178878784179688,7.105555555555556,3.054159274288187
2,16.177234872226773,16.827896118164062,45.799506816590004,49.889312744140625,45.07698215175784,46.87760925292969,10.03473717266241,10.13995361328125,0.07462024688720703,22.76111111111111,3.0545033439888445
3,17.274834281025043,18.442794799804688,42.196891013524485,46.23817443847656,41.30104498669702,43.62815856933594,10.58915233299591,11.039352416992188,0.06760668754577637,7.538888888888888,3.054527920396034
4,16.658401494736705,16.658828735351562,41.39796717917933,44.21722412109375,41.29397323208991,44.19853210449219,10.721677854723522,10.832427978515625,0.07147622108459473,10.716666666666667,3.054527920396034
5,0,0,0,0,0,0,0,0,0.06871271133422852,13.572222222222223,3.054282156324136
6,17.181631377408358,18.949615478515625,44.16485717056179,47.80308532714844,42.880202185825326,45.45086669921875,10.64548854137848,11.291793823242188,0.06810593605041504,14.97777777777778,3.054306732731326
7,17.020633639509033,18.213104248046875,42.41895721299784,46.642822265625,41.657143447457464,43.34672546386719,10.812484385176038,11.466354370117188,0.07233452796936035,10.577777777777778,3.054380461952895
8,15.055363481831728,15.531265258789062,40.64031949629048,45.09864807128906,40.33151342420928,40.834381103515625,9.81667716343725,10.254913330078125,0.0729210376739502,10.483333333333333,3.0544050383600854
9,0,0,0,0,0,0,0,0,0.06963086128234863,20.755555555555556,3.0544050383600854
10,11.486661561739131,11.6846923828125,19.838070876091418,25.37103271484375,17.490573261802172,19.659942626953125,7.275913207788203,8.649139404296875,0.07086920738220215,14.405555555555557,3.0544541911744645
11,0,0,0,0,0,0,0,0,0.07022762298583984,13.283333333333333,3.0544541911744645
12,17.82249584462128,17.8468017578125,44.50699199069784,48.10176086425781,44.24260743383531,46.38804626464844,11.870428267592047,12.05389404296875,0.06938672065734863,17.166666666666668,3.0545033439888445
13,16.898920157087808,16.996658325195312,44.090424196871226,47.17485046386719,43.81172588736031,46.11041259765625,11.336172813614356,11.463531494140625,0.06931805610656738,19.63888888888889,3.054527920396034
14,16.824963148610017,17.033523559570312,44.45124898316185,47.75042724609375,44.10422722922524,46.32072448730469,11.11675681023335,11.179779052734375,0.06648921966552734,19.16111111111111,3.054527920396034
15,0,0,0,0,0,0,0,0,0.06690049171447754,16.522222222222222,3.054527920396034
16,0,0,0,0,0,0,0,0,0.06674885749816895,13.972222222222221,3.054527920396034
17,10.702120744707836,11.1861572265625,20.691874078631177,27.41363525390625,18.078703055896185,21.882476806640625,6.671032079076432,8.200775146484375,0.06937456130981445,7.355555555555556,3.054527920396034
18,0,0,0,0,0,0,0,0,0.06781315803527832,8.777777777777779,3.054527920396034
19,14.260208857778155,15.011444091796875,44.86223656651044,47.02421569824219,45.25202413004951,47.7801513671875,9.428044335259292,9.821945190429688,0.07101964950561523,15.583333333333334,3.054552496803224
20,14.23165050577533,15.353347778320312,44.406336462891716,46.90283203125,45.0136964688442,47.25608825683594,9.3272946825745,9.858123779296875,0.07385659217834473,13.838888888888889,3.054552496803224
21,13.923895753039943,14.62628173828125,43.95129685817109,46.20085144042969,44.37811853399619,46.93846130371094,8.961457484408557,9.268035888671875,0.07330965995788574,15.100000000000001,3.054552496803224
22,14.40516215519433,15.349807739257812,43.9036034096421,46.60417175292969,44.55281510262577,47.003753662109375,9.065623114894532,9.3717041015625,0.0736246109008789,6.944444444444445,3.054601649617603
