frame,dist_euclid_shlders,dist_manh_shlders,dist_euclid_left_shoulder_hip,dist_manh_left_shoulder_hip,dist_euclid_right_shoulder_hip,dist_manh_right_shoulder_hip,dist_euclid_hips,dist_manh_hips,time_frame_sec,cpu_percent,memory_percent
0,39.25041282607643,42.11871337890625,84.5288402627332,87.87240600585938,84.6212256216327,95.17359924316406,24.528757322643578,26.796218872070312,0.07910490036010742,11.566666666666666,3.1426834929857703
1,39.212846953409205,39.22569274902344,97.91463427847447,102.02973937988281,99.27500087483817,109.32637023925781,24.402588265580928,25.279983520507812,0.07357048988342285,8.077777777777778,3.1468123293936534
2,39.346257538145835,41.35636901855469,94.12795861112451,97.7672119140625,94.61618108233236,105.1455078125,24.464499969715966,26.347030639648438,0.07602596282958984,15.649999999999999,3.1472301283158797
3,40.07232335357482,42.41432189941406,97.17038783567749,100.77761840820312,97.39708013197742,108.11354064941406,25.022213930594585,26.982147216796875,0.0735630989074707,13.855555555555556,3.146959787836792
4,39.37872531475403,40.30110168457031,98.1398337510025,101.10575866699219,99.30193189728199,110.52243041992188,24.455759014838467,25.83563232421875,0.07536482810974121,7.8999999999999995,3.1469843642439823
5,38.871148122590576,39.09519958496094,96.95506051585006,99.79275512695312,98.54143724777008,110.012451171875,23.781763659708353,24.848281860351562,0.0752568244934082,16.938888888888886,3.1631310637676666
6,39.276423200751225,39.799835205078125,95.19448087292416,98.56121826171875,96.72229535114514,107.80537414550781,24.078382815092432,25.431289672851562,0.07304954528808594,10.461111111111112,3.1632785222108053
7,39.93565438377085,42.991729736328125,97.0926900453978,99.88398742675781,97.06095651259386,108.2630615234375,25.15689524673536,27.492385864257812,0.07568120956420898,15.705555555555556,3.1632785222108053
8,41.58910741304903,43.281219482421875,100.1615828733387,101.69712829589844,103.44678409949803,116.99458312988281,25.430859850980937,25.961639404296875,0.07339334487915039,25.466666666666665,3.1632785222108053
9,40.87114586276116,41.20558166503906,91.6108631273871,93.09001159667969,93.48078855992793,106.57572937011719,25.228031228684628,26.339157104492188,0.07151985168457031,11.844444444444443,3.1636717447258413
10,41.91098516399205,42.976043701171875,100.38837020725127,101.88494873046875,101.79913829899431,115.09965515136719,26.120185575583072,27.567672729492188,0.07189011573791504,16.522222222222222,3.1636717447258413
11,40.294210140144145,42.15031433105469,101.8274362037716,102.67814636230469,102.51282683231143,114.94783020019531,26.150243341721684,27.816696166992188,0.07278156280517578,20.966666666666665,3.1636717447258413
12,41.677219931672084,46.81840515136719,101.66608694577705,101.91903686523438,101.03740647659681,113.97322082519531,27.44375276534724,31.0806884765625,0.07190227508544922,3.5444444444444443,3.1636717447258413
13,41.716989095367374,47.34281921386719,98.11892030744816,99.17919921875,96.94683993821995,109.58827209472656,26.89771486007788,30.551666259765625,0.07378029823303223,12.661111111111111,3.1636717447258413
14,39.59126966136154,44.99534606933594,94.12876841742558,95.21940612792969,92.9004655001078,105.09591674804688,25.204465893921906,28.616546630859375,0.07317972183227539,15.083333333333334,3.1636717447258413
15,38.60705269852301,42.361663818359375,98.41662196656767,100.00483703613281,97.94390013760075,109.24630737304688,24.90918951987858,27.511154174804688,0.07356739044189453,25.416666666666668,3.163720897540221
16,37.849813941934066,38.63587951660156,100.41895219393945,101.72091674804688,101.21985858196989,111.38301086425781,25.803042521440357,26.352752685546875,0.07158136367797852,23.73888888888889,3.163745473947411
17,37.05743598067164,37.72315979003906,94.4640206776486,95.97232055664062,94.61511373216416,104.09310913085938,25.523740438348607,25.826187133789062,0.07471442222595215,12.511111111111111,3.163745473947411
18,39.28698960879118,40.807708740234375,102.87662494808069,103.57070922851562,102.55567499057007,113.53480529785156,26.923862056625183,27.487655639648438,0.07335901260375977,11.572222222222223,3.163745473947411
19,38.77745737456655,39.45121765136719,103.70746577840897,104.46047973632812,103.92337158125773,114.79924011230469,26.501106839021965,26.758209228515625,0.07188749313354492,18.905555555555555,3.163745473947411
20,40.7588302853868,40.788360595703125,102.05035965376676,103.21208190917969,102.69838960698632,113.87460327148438,27.726708961144762,27.789016723632812,0.0731661319732666,16.26111111111111,3.163745473947411
21,40.46944790286061,41.07826232910156,100.45052016070878,101.95660400390625,100.54148007444086,111.39665222167969,27.430320638881227,27.484344482421875,0.07465672492980957,15.922222222222224,3.164114120055258
22,41.62660584303841,44.34657287597656,101.5373478092279,103.55570983886719,101.77308793813114,113.85856628417969,26.680206980685885,28.834884643554688,0.07439136505126953,15.97777777777778,3.164114120055258
