frame,dist_euclid_shlders,dist_manh_shlders,dist_euclid_left_shoulder_hip,dist_manh_left_shoulder_hip,dist_euclid_right_shoulder_hip,dist_manh_right_shoulder_hip,dist_euclid_hips,dist_manh_hips,time_frame_sec,cpu_percent,memory_percent
0,19.995560931503167,20.785690307617188,57.554889775340875,61.715362548828125,56.79848028758388,59.7896728515625,12.582436256959529,12.711074829101562,0.06903076171875,12.894444444444444,3.1382843160988
1,19.852788039816637,21.281112670898438,58.7552111526087,62.68409729003906,57.65248866887369,60.838043212890625,12.455752693202967,12.8773193359375,0.0664827823638916,11.472222222222221,3.142511458135442
2,20.047381407511217,20.585845947265625,55.89729641714405,60.42488098144531,55.144583346134354,57.74894714355469,12.643266530088937,12.714202880859375,0.06932854652404785,17.066666666666666,3.1460258843635804
3,20.23974628010888,20.24249267578125,55.3835299462737,60.56202697753906,54.94281664210036,56.9007568359375,12.800251473436502,13.004257202148438,0.06994390487670898,14.516666666666667,3.14605046077077
4,20.54900146070013,21.304794311523438,56.13532037320016,60.180023193359375,56.42192484207192,59.0787353515625,13.615457229607538,14.001663208007812,0.0688467025756836,11.072222222222223,3.14605046077077
5,20.9833919200125,21.350784301757812,56.75562195674454,60.95100402832031,56.36683377303974,59.08624267578125,13.828574921203987,13.9091796875,0.07002496719360352,12.11111111111111,3.14605046077077
6,20.987447861306716,21.169815063476562,55.44185059435991,59.66603088378906,55.43208297782403,58.06123352050781,13.893242115106816,13.976669311523438,0.0678262710571289,14.966666666666665,3.1460750371779604
7,20.555260989161855,21.206497192382812,55.794321817680476,58.82011413574219,56.29653907590699,59.91972351074219,13.685250611180882,13.881515502929688,0.06699013710021973,17.655555555555555,3.1460750371779604
8,21.094490454291787,21.224761962890625,55.26539703760785,58.18254089355469,55.298046394158604,59.57136535644531,13.642794744189018,13.707794189453125,0.07266044616699219,16.35,3.1460996135851493
9,21.097313813427117,21.26788330078125,54.41441432905418,57.72969055175781,54.44896192044389,58.75688171386719,13.180521089926325,13.3077392578125,0.06811380386352539,12.433333333333334,3.1464928361001863
10,20.790729255213652,21.506683349609375,56.56174615010745,59.74177551269531,56.267426198391895,60.1231689453125,13.510627385795308,13.892166137695312,0.07052755355834961,12.0,3.1464928361001863
11,20.803821444531284,21.110366821289062,56.99874859377988,60.766754150390625,56.77193180340483,60.01478576660156,13.559070707938256,13.675872802734375,0.06821036338806152,11.183333333333334,3.1465419889145654
12,21.00506940025821,22.150711059570312,54.93710852526846,58.25492858886719,54.24359363329711,58.52119445800781,13.092290305629696,13.494216918945312,0.06781268119812012,18.744444444444444,3.1465419889145654
13,20.669100736773313,21.066390991210938,56.78081854153673,60.471954345703125,56.48536800795918,59.750640869140625,13.480478665309326,13.613815307617188,0.0679018497467041,18.683333333333334,3.1465911417289454
14,20.895403931315794,21.6666259765625,57.704782994615584,61.78691101074219,57.22515588354761,60.3544921875,13.427794659123778,13.794204711914062,0.06878232955932617,7.327777777777778,3.146615718136135
15,20.679035116534774,20.9176025390625,57.766827128584296,61.81147766113281,57.88217672553186,60.75653076171875,13.530828502983795,13.577865600585938,0.06843852996826172,8.661111111111111,3.146615718136135
16,20.701827857395266,20.737258911132812,56.87965700141103,61.06455993652344,56.86849058730732,59.78764343261719,13.35241293407306,13.463851928710938,0.06853723526000977,23.5,3.146320801249858
17,20.842257042779067,21.261566162109375,58.1629579625651,62.248565673828125,57.969912051353724,61.16059875488281,13.317004557643424,13.606063842773438,0.07129049301147461,10.716666666666667,3.1463699540642374
18,20.614571238260293,20.91595458984375,57.999350099332474,62.11546325683594,57.90942422758168,61.11857604980469,13.038039520636206,13.312164306640625,0.06999540328979492,15.711111111111112,3.1463945304714267
19,20.84040372978443,21.037551879882812,57.33140334884881,60.819671630859375,57.26412369744582,61.22113037109375,13.134038759747638,13.230453491210938,0.06879305839538574,17.23888888888889,3.1464682596929965
20,20.625680765117522,20.685043334960938,57.63903937922746,61.93359375,57.646014256164264,60.66596984863281,13.054981712095616,13.210296630859375,0.06741547584533691,12.577777777777778,3.1464682596929965
21,20.941079669969128,20.981781005859375,57.440469969336206,61.88731384277344,57.463706443010125,60.40293884277344,13.288698555012317,13.3787841796875,0.06770658493041992,16.22222222222222,3.1468860586152223
22,21.03479483483444,21.07330322265625,57.20817856452131,61.80328369140625,57.13201241560475,60.07456970214844,13.215918157665685,13.299453735351562,0.06735396385192871,17.605555555555554,3.1468860586152223
23,20.648682044642964,20.692306518554688,56.584262148043415,60.894256591796875,56.59181874265939,59.48008728027344,13.194462545151818,13.258697509765625,0.06820321083068848,7.449999999999999,3.1468860586152223
24,20.611760796635554,20.838104248046875,56.844667102385024,60.679443359375,56.73789763626452,60.22862243652344,13.032074543756638,13.176498413085938,0.0686495304107666,12.350000000000001,3.1468860586152223
25,20.983072435958192,21.36871337890625,55.14249794985641,59.18914794921875,54.733475468705464,58.18272399902344,13.206581361507636,13.231277465820312,0.06790757179260254,6.2444444444444445,3.1469843642439823
26,20.795515233992333,21.355987548828125,56.66461997300199,60.34230041503906,56.25627829154025,60.07832336425781,13.021259225023453,13.1685791015625,0.06823301315307617,21.116666666666667,3.1469843642439823
27,21.34697205615957,21.610763549804688,55.115823193036256,59.06816101074219,54.84151003969178,58.6939697265625,13.241455188408484,13.2431640625,0.06826090812683105,17.36111111111111,3.1469843642439823
28,21.408207165847596,21.652313232421875,55.31388217649353,59.36778259277344,55.35363910325223,58.84037780761719,13.588861251895553,13.75030517578125,0.06740355491638184,10.038888888888888,3.1469843642439823
29,21.51127767687029,21.747695922851562,56.16478894286846,60.18516540527344,56.212052336169414,59.60646057128906,13.831182018738758,13.974746704101562,0.06938457489013672,10.983333333333333,3.1469843642439823
30,21.453174526328866,21.588729858398438,56.911568452998026,61.24945068359375,56.78256078989001,59.96134948730469,13.662389509766083,13.75421142578125,0.06905579566955566,20.85,3.1469843642439823
31,21.14431263090306,21.627044677734375,56.29300468392729,60.39817810058594,56.39191068293221,59.588134765625,13.582974464549517,13.902816772460938,0.06753897666931152,15.044444444444444,3.1469843642439823
32,22.12254880985069,22.138107299804688,56.26804709088458,59.503631591796875,56.395737661900895,61.057464599609375,13.915451050340105,13.915573120117188,0.06826353073120117,11.161111111111111,3.1469843642439823
33,21.611408499061035,22.059722900390625,55.351707824716144,58.991455078125,55.081703395503865,59.361114501953125,13.378841649546903,13.5087890625,0.0702970027923584,13.244444444444445,3.1469843642439823
34,21.824386274729598,22.033004760742188,55.12758834521038,59.253936767578125,54.84984363616054,58.42057800292969,13.834221074893236,13.859466552734375,0.0669698715209961,16.4,3.1469843642439823
35,22.08368824210501,22.472686767578125,54.07830285956281,57.542938232421875,53.9737807432004,58.66954040527344,13.577407919089133,13.758255004882812,0.0675046443939209,13.81111111111111,3.1469843642439823
36,21.778589240331012,21.906143188476562,53.2517520334276,57.03729248046875,53.30139112775577,57.50825500488281,13.460107353284263,13.57354736328125,0.06741833686828613,10.044444444444444,3.1469843642439823
37,21.507030125059245,21.771286010742188,54.72109471759247,58.454071044921875,54.86487810726316,58.81915283203125,13.527799824222116,13.666213989257812,0.06719088554382324,3.761111111111111,3.1469843642439823
38,22.106963418496,22.192764282226562,52.55377182999957,55.91943359375,52.63578677002585,57.130706787109375,13.920382895510379,14.019332885742188,0.07012271881103516,21.744444444444444,3.1469843642439823
39,21.99902524816134,22.026412963867188,53.02685810635988,56.37176513671875,53.13573809542534,57.630035400390625,13.838484295298391,13.879043579101562,0.07232093811035156,12.850000000000001,3.1469843642439823
40,22.150411967168314,22.255447387695312,54.22331956459683,57.52268981933594,54.42169234858609,59.14460754394531,13.795356948298492,13.820571899414062,0.06980371475219727,15.794444444444444,3.1469843642439823
41,22.351090491839475,22.571701049804688,55.51740964484841,59.2637939453125,55.4316045006819,59.81706237792969,13.893404292976966,13.97589111328125,0.07042789459228516,14.461111111111112,3.1469843642439823
42,22.167131084504593,22.54876708984375,56.932721245741554,61.08229064941406,56.52151735904203,60.20947265625,14.033617603464908,14.041976928710938,0.06805849075317383,6.205555555555556,3.1469843642439823
43,22.4814556279357,22.603073120117188,53.329893940110445,57.06694030761719,53.17937097293071,57.49737548828125,14.093543712233338,14.1722412109375,0.06717181205749512,12.616666666666667,3.1469843642439823
44,22.804983335209197,22.908233642578125,54.610465857904856,58.087493896484375,54.60844686770684,59.34307861328125,14.248841511802473,14.254638671875,0.06852531433105469,12.372222222222222,3.146566565321755
45,22.49880342375119,22.587799072265625,55.890994140735636,59.530731201171875,56.059952026534894,60.234375,14.388967231260505,14.42730712890625,0.06838369369506836,11.13888888888889,3.146763176579274
