frame,dist_euclid_shlders,dist_manh_shlders,dist_euclid_left_shoulder_hip,dist_manh_left_shoulder_hip,dist_euclid_right_shoulder_hip,dist_manh_right_shoulder_hip,dist_euclid_hips,dist_manh_hips,time_frame_sec,cpu_percent,memory_percent
0,29.50066435670658,32.47279357910156,86.2593118725469,86.55911254882812,85.49620333998907,96.01853942871094,18.43760210934344,19.99658203125,0.07679271697998047,20.066666666666666,3.0441566765619474
1,12.047426417161407,12.158935546875,18.14603235320013,22.8179931640625,15.824142065341483,16.328765869140625,7.197129414238695,8.598968505859375,0.06897735595703125,6.166666666666667,3.048383818598589
2,18.499135603221326,20.479965209960938,87.42398441984396,93.74983215332031,86.88146459867208,97.8675537109375,13.201150501757105,14.16485595703125,0.08066368103027344,17.966666666666665,3.0509397649463263
3,25.513246448824386,34.32513427734375,99.50877477980067,104.04600524902344,92.71712170172212,104.19241333007812,15.621864192004006,19.175064086914062,0.07194638252258301,16.544444444444444,3.052979606743078
4,3.7668652008590935,5.3256378173828125,89.0304186641394,98.52159118652344,87.76868107858638,97.47413635253906,2.746993198093867,3.7742156982421875,0.06971955299377441,20.727777777777778,3.0530287595574577
5,36.27254347445131,40.83872985839844,89.3298106993004,101.69166564941406,91.80604792858084,92.99723815917969,23.81418539744461,25.195755004882812,0.07230377197265625,14.083333333333334,3.053102488779027
6,31.160298010429646,34.11480712890625,88.81715820840877,101.66098022460938,90.14498347919663,93.54325866699219,20.53772284385206,21.271377563476562,0.07407379150390625,16.077777777777776,3.053102488779027
7,33.73470901564262,34.71855163574219,93.96570403920975,105.21795654296875,94.35753077145232,94.53643798828125,21.51664388384462,21.681625366210938,0.06986832618713379,18.216666666666665,3.0531762180005964
8,34.07879657610529,34.9561767578125,90.75133084168931,100.00935363769531,91.28633575237744,93.62139892578125,21.914616412185858,22.058822631835938,0.07066798210144043,25.216666666666665,3.053200794407786
9,34.44073774865985,37.10005187988281,93.20393307988473,102.82276916503906,95.00218126891576,97.09622192382812,22.039806401860627,22.474578857421875,0.07752537727355957,16.438888888888886,3.0535940169228226
10,19.029068713610133,19.405548095703125,95.61010479010021,104.49032592773438,95.3060249810956,97.20079040527344,11.604624413664569,11.848556518554688,0.07095122337341309,26.36111111111111,3.0535940169228226
11,5.27923036100153,6.050537109375,94.69163621952279,100.13690185546875,94.05727566598782,97.48519897460938,3.108400404920803,3.398834228515625,0.06837201118469238,9.95,3.0535940169228226
12,17.76728880451608,20.035400390625,89.4915229700689,96.46778869628906,90.83852414260664,91.31842041015625,10.837595078702455,11.602645874023438,0.07442307472229004,10.3,3.0535940169228226
13,18.79512942990615,19.906814575195312,89.93377356252394,92.66563415527344,89.23876072512698,93.35481262207031,11.776382019275388,12.164627075195312,0.07394909858703613,21.855555555555554,3.0535940169228226
14,12.443680355512708,15.129470825195312,88.88650358501876,93.98959350585938,90.2977023197064,90.37586975097656,6.888035494520464,8.225616455078125,0.0697336196899414,29.233333333333334,3.0535940169228226
15,28.647547247463887,30.918304443359375,89.89614187861376,95.53013610839844,90.8843067260661,94.96591186523438,18.593659701429868,19.836990356445312,0.07123804092407227,19.12222222222222,3.0535940169228226
16,16.597422174140913,18.181777954101562,88.74805837546091,92.84431457519531,89.49086541173885,90.97599792480469,10.852679471158712,11.659133911132812,0.07838249206542969,18.5,3.0535940169228226
17,12.890557118764514,14.111846923828125,86.96590461876048,87.56356811523438,87.4588926614012,90.91595458984375,8.740880738338607,9.55999755859375,0.07127547264099121,27.477777777777778,3.0535940169228226
18,29.50940252793378,29.860076904296875,88.94924421643225,93.51849365234375,88.90726773814325,94.33549499511719,19.21427771257576,19.656784057617188,0.06938529014587402,19.58888888888889,3.0535940169228226
19,27.959245496953525,30.085662841796875,89.3010836605755,95.44075012207031,90.05482061084473,93.53233337402344,18.00431376116757,19.260223388671875,0.07434248924255371,13.727777777777778,3.0535940169228226
20,6.788559041246027,8.150833129882812,89.59772314319567,90.75282287597656,90.2483957379097,93.13035583496094,4.933069849480378,5.7733001708984375,0.07131552696228027,14.327777777777776,3.0535940169228226
21,38.643412364318195,39.741424560546875,91.6053181824499,98.82893371582031,90.40177483059995,95.18199157714844,26.179680200680068,26.266754150390625,0.06960463523864746,20.783333333333335,3.0535940169228226
22,10.114372970711472,10.7835693359375,89.03976250336454,91.74349975585938,89.42135324209727,91.11201477050781,5.64477290501203,5.9228668212890625,0.07133650779724121,20.299999999999997,3.0535940169228226
23,33.600694108126945,34.481414794921875,92.09011666886006,99.27792358398438,91.43915097804157,95.19488525390625,22.26431689757393,22.72589111328125,0.07374429702758789,9.238888888888889,3.0535940169228226
24,18.12727997684206,19.56396484375,91.5803854194613,95.01402282714844,92.62834466634614,95.55436706542969,11.598914505257563,12.022491455078125,0.06929516792297363,12.266666666666667,3.0536923225515813
25,30.48315986385351,31.0550537109375,95.4976089294687,101.8270263671875,95.25906761986519,98.6871337890625,20.437086485494813,20.93096923828125,0.07074809074401855,14.372222222222222,3.0536923225515813
26,32.66068843353403,33.03193664550781,105.52529752654812,115.496337890625,106.4327119117782,106.57461547851562,22.047768537791296,23.079452514648438,0.07506966590881348,21.572222222222223,3.0535940169228226
27,27.587422288025138,29.737640380859375,103.24302409739258,111.66658020019531,102.52403766704515,102.6260986328125,18.89469232157468,20.697158813476562,0.06948065757751465,23.266666666666666,3.0535940169228226
