cpu_percent,distancia,fuera_std
11.427777777777775,5m,False
18.822222222222223,5m,False
9.216666666666669,5m,True
6.050000000000001,5m,True
15.344444444444443,5m,False
24.39444444444445,5m,True
17.38888888888889,5m,False
23.85,5m,True
13.577777777777778,5m,False
22.183333333333334,5m,True
22.4,5m,True
12.366666666666667,5m,False
14.47777777777778,5m,False
21.12777777777778,5m,True
22.694444444444443,5m,True
17.544444444444444,5m,False
12.566666666666666,5m,False
9.927777777777775,5m,True
9.966666666666669,5m,False
18.72222222222222,5m,False
23.64444444444445,5m,True
9.961111111111112,5m,False
19.35,5m,True
14.88888888888889,5m,False
12.22222222222222,5m,False
11.77777777777778,5m,False
7.977777777777778,5m,True
12.511111111111113,5m,False
9.105555555555556,5m,True
15.005555555555556,5m,False
11.088888888888889,5m,False
7.949999999999999,5m,True
10.005555555555556,5m,False
10.877777777777778,5m,False
9.655555555555557,5m,True
26.28333333333333,5m,True
18.64444444444445,5m,False
13.577777777777778,5m,False
13.405555555555557,5m,False
26.166666666666668,5m,True
21.716666666666665,5m,True
15.47777777777778,5m,False
16.01111111111111,5m,False
19.75,5m,True
10.616666666666667,5m,False
12.344444444444443,5m,False
14.633333333333333,5m,False
11.227777777777778,5m,False
18.316666666666663,5m,False
12.394444444444444,5m,False
22.383333333333333,5m,True
15.97777777777778,5m,False
19.08333333333333,5m,False
13.577777777777778,5m,False
13.27777777777778,5m,False
13.533333333333331,5m,False
14.305555555555555,5m,False
6.205555555555556,5m,True
16.922222222222224,5m,False
19.827777777777776,5m,True
19.58888888888889,5m,True
12.444444444444445,5m,False
4.911111111111111,5m,True
12.9,5m,False
13.47222222222222,5m,False
20.63888888888889,5m,True
15.75,5m,False
12.377777777777778,5m,False
12.705555555555556,5m,False
12.422222222222222,5m,False
13.56111111111111,5m,False
10.63888888888889,5m,False
6.155555555555555,5m,True
13.761111111111113,5m,False
16.083333333333332,5m,False
11.372222222222222,5m,False
19.98333333333333,5m,True
16.211111111111112,5m,False
7.333333333333333,5m,True
12.372222222222222,5m,False
16.055555555555557,5m,False
12.4,5m,False
28.15,5m,True
11.93888888888889,5m,False
21.427777777777777,5m,True
15.8,5m,False
14.544444444444444,5m,False
6.161111111111111,5m,True
13.56111111111111,5m,False
10.77777777777778,5m,False
18.36111111111111,5m,False
11.172222222222222,5m,False
11.211111111111112,5m,False
15.994444444444444,5m,False
17.394444444444446,5m,False
10.955555555555556,5m,False
15.622222222222222,5m,False
16.033333333333335,5m,False
6.561111111111111,5m,True
11.122222222222222,5m,False
23.427777777777777,4m,True
8.616666666666667,4m,True
19.64444444444445,4m,True
21.97222222222222,4m,True
12.455555555555556,4m,False
12.45,4m,False
13.294444444444444,4m,False
9.738888888888887,4m,True
12.56111111111111,4m,False
17.733333333333334,4m,False
11.494444444444444,4m,False
14.95,4m,False
15.083333333333334,4m,False
12.627777777777778,4m,False
23.1,4m,True
15.605555555555554,4m,False
5.988888888888889,4m,True
17.783333333333335,4m,False
14.944444444444445,4m,False
18.605555555555554,4m,False
16.483333333333334,4m,False
16.16111111111111,4m,False
16.433333333333334,4m,False
18.683333333333334,4m,False
6.116666666666666,4m,True
24.86111111111111,4m,True
17.48888888888889,4m,False
23.37777777777778,4m,True
