memory_percent,distancia,fuera_std
3.159223415024492,5m,False
3.163253945803615,5m,True
3.163696321133031,5m,True
3.163696321133031,5m,True
3.163696321133031,5m,True
3.163696321133031,5m,True
3.163696321133031,5m,True
3.163696321133031,5m,True
3.163696321133031,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164089543648068,5m,True
3.164040390833688,5m,True
3.164286154905586,5m,True
3.164310731312776,5m,True
3.1648022594565712,5m,True
3.1648022594565712,5m,True
3.1649005650853304,5m,True
3.1649005650853304,5m,True
3.1649005650853304,5m,True
3.1649005650853304,5m,True
3.1649005650853304,5m,True
3.124005423521538,5m,True
3.141700436698179,5m,False
3.124005423521538,5m,True
3.124005423521538,5m,True
3.141700436698179,5m,False
3.124005423521538,5m,True
3.141700436698179,5m,False
3.141700436698179,5m,False
3.141700436698179,5m,False
3.14275722220734,5m,False
3.1469843642439823,5m,False
3.1473775867590184,5m,False
3.1473775867590184,5m,False
3.1473775867590184,5m,False
3.147402163166208,5m,False
3.147402163166208,5m,False
3.147402163166208,5m,False
3.147402163166208,5m,False
3.147795385681244,5m,False
3.147131822687121,5m,False
3.14715639909431,5m,False
3.1473284339446383,5m,False
3.1473284339446383,5m,False
3.147426739573398,5m,False
3.147475892387777,5m,False
3.147475892387777,5m,False
3.147475892387777,5m,False
3.147475892387777,5m,False
3.147475892387777,5m,False
3.147869114902814,5m,False
3.147869114902814,5m,False
3.147869114902814,5m,False
3.147869114902814,5m,False
3.147869114902814,5m,False
3.147869114902814,5m,False
3.141528401847851,5m,False
3.1457555438844933,5m,False
3.14612418999234,5m,False
3.1461487663995293,5m,False
3.1461487663995293,5m,False
3.146173342806719,5m,False
3.146173342806719,5m,False
3.146173342806719,5m,False
3.146173342806719,5m,False
3.146173342806719,5m,False
3.146173342806719,5m,False
3.146173342806719,5m,False
3.146173342806719,5m,False
3.146222495621099,5m,False
3.1462716484354782,5m,False
3.143519090830223,5m,False
3.1462716484354782,5m,False
3.1462716484354782,5m,False
3.1466648709505147,5m,False
3.1466648709505147,5m,False
3.146689447357705,5m,False
3.146714023764894,5m,False
3.146714023764894,5m,False
3.1320419086725964,5m,True
3.13830889250599,5m,True
3.13833346891318,5m,True
3.13833346891318,5m,True
3.138407198134749,5m,True
3.138407198134749,5m,True
3.138407198134749,5m,True
3.138431774541939,5m,True
3.138431774541939,5m,True
3.138431774541939,5m,True
3.138431774541939,5m,True
3.138431774541939,5m,True
3.138431774541939,5m,True
3.138431774541939,5m,True
3.1580191710721928,4m,False
3.1622217367016447,4m,True
3.162934452510148,4m,True
3.1629590289173377,4m,True
3.1629590289173377,4m,True
3.1629590289173377,4m,True
3.1629590289173377,4m,True
