euclid_prom,manh_prom
48.666710001873795,52.254913330078125
50.077754094490146,53.62110137939453
52.47208952783325,56.071434020996094
55.161726903531104,58.790611267089844
56.60865498347365,60.32429504394531
55.581889729165965,59.31007385253906
56.35841391188862,60.15739440917969
58.52310045953739,62.16352081298828
59.82216626287129,63.568878173828125
59.09325965638245,62.02588653564453
53.8660578392908,57.195770263671875
54.35998304926002,57.63392639160156
51.62746752601677,54.88983154296875
45.91906834054878,49.144287109375
50.86415329457145,53.981781005859375
49.77385018632013,53.158477783203125
53.24437993861082,56.72974395751953
47.86454996121157,51.46184539794922
47.59509500819689,51.08222198486328
47.115237485637294,50.471771240234375
46.86829297927941,50.191322326660156
46.69443971984106,49.91224670410156
51.56816039943814,54.545875549316406
51.675434100575785,54.731231689453125
53.74390251373639,57.06195831298828
52.52635065833847,55.857398986816406
52.34274217551385,55.737648010253906
52.667649086215235,56.11244201660156
55.78506963152638,58.81045532226563
55.89156972922865,58.91755676269531
19.68612559042549,22.12054443359375
58.688931783546366,61.495567321777344
18.692111925579148,20.6092529296875
18.71014280227778,20.555206298828125
19.656740601526728,22.62384033203125
19.20988307895322,22.036148071289062
19.62350386821547,21.728652954101562
20.043321467608198,23.306838989257812
19.343648135354307,21.50543212890625
19.531806929191383,22.424896240234375
19.936804679627123,22.758743286132812
19.913499527986836,23.270294189453125
20.682260578317905,25.412567138671875
21.06896811841107,25.535980224609375
21.37617448691239,25.957351684570312
21.351325538978863,26.439315795898438
21.44070534857543,27.2718505859375
21.354279626052843,26.7850341796875
20.945043735040173,25.87298583984375
21.38560190769295,26.34478759765625
21.505683897143,26.695022583007812
52.641621030669654,53.820892333984375
21.20635706899057,26.1168212890625
21.53428623402799,26.461746215820312
20.27415700692025,24.054183959960938
20.051121886951453,23.584213256835938
20.25741787451883,23.380294799804688
20.496759316503343,24.26763916015625
20.34660643748116,24.102676391601562
56.32154654839987,57.434669494628906
20.66742529347955,24.957916259765625
21.01628001246963,25.9693603515625
49.42907387506196,51.81446075439453
48.968455809463514,50.046241760253906
21.50388276868366,27.11419677734375
21.40389637455511,26.332305908203125
21.06836033387469,25.291000366210938
20.943596474284355,25.566543579101562
17.99121024929765,20.169189453125
20.479511882618635,24.426971435546875
20.955304099622666,25.397720336914062
50.96669247335423,52.69440460205078
20.810836175336767,26.51141357421875
21.519896096068578,27.384292602539062
57.32295336492848,59.641151428222656
58.51662793740974,60.339080810546875
20.901226080176457,26.429702758789062
56.73009753906943,59.474609375
20.848049294053766,25.80816650390625
58.24729089457619,60.538848876953125
21.506611553900438,26.961517333984375
53.334498268237795,56.023231506347656
55.80754674644328,57.23040008544922
60.6456142504629,62.40980529785156
59.20011033137553,61.6168212890625
59.24381538652967,61.23883819580078
58.78419083535647,60.80995178222656
54.71730237908493,56.929290771484375
20.179356690287452,23.813583374023438
20.53278799472475,24.654403686523438
51.87168212429645,54.067054748535156
21.742204043119308,27.0894775390625
52.44824357867339,54.741783142089844
50.43860720150741,52.9488525390625
49.74650461037808,53.775665283203125
51.99484959844307,55.079490661621094
51.98638639300314,55.42082977294922
50.88295945450807,54.06024932861328
54.226755452206206,57.723297119140625
51.04166759498284,54.553016662597656
20.712780474790556,24.825225830078125
52.13029964321744,54.733375549316406
20.859364372486127,25.770904541015625
